"","X.1","X","Address","Zip","Rent","Beds","Ba","Area","Bldg","Type","Laundry","Heating","Cooling","Pets","Parking","test"
"70",70,70,"1535 44th Ave",94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA,1
"71",71,71,"831 Marina Blvd",94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA,1
"72",72,72,"869 Faxon Ave",94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space",1
"73",73,73,"253 Friedell St",94124,4500,3,2.5,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage",0
"74",74,74,"727 Green St",94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA,0
"75",75,75,"1731 Vallejo St",94123,9500,2,2.5,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage",1
"76",76,76,"Eureka St",94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage",1
"77",77,77,"220 Fairmount St",94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space",1
"78",78,78,"3655 21st St",94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA,0
"79",79,79,"2233 Santiago St",94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street",0
"80",80,80,"Maddux Ave",94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage",1
"81",81,81,"2786 38th Ave",94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"82",82,82,"21st Ave",94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA,1
"83",83,83,"Rockdale Dr",94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA,1
"84",84,84,"Orizaba Ave",94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street",0
"85",85,85,"525 20th Avenue # Upper Floor",94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA,1
"86",86,86,"268 Madison St",94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street",1
"87",87,87,"848 N Point St",94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA,0
"88",88,88,"Central Ave",94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA,1
"89",89,89,"1133 Kansas St",94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space",0
"90",90,90,"2351 33rd Ave",94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA,0
"91",91,91,"Washington St",94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA,0
"92",92,92,"Pierce St",94123,25000,4,3.5,3884,"House","Single Family","In Unit",NA,NA,"No",NA,0
"93",93,93,"459 Colon Ave",94127,4700,3,1.5,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"94",94,94,"243 Noriega St",94122,5000,3,2.5,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA,0
"95",95,95,"135 Evelyn Way",94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"96",96,96,"21 Summit Way",94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA,1
"97",97,97,"1535 44th Ave",94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA,1
"98",98,98,"831 Marina Blvd",94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA,0
"99",99,99,"869 Faxon Ave",94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space",0
"100",100,100,"253 Friedell St",94124,4500,3,2.5,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage",1
"101",101,101,"727 Green St",94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA,1
"102",102,102,"1731 Vallejo St",94123,9500,2,2.5,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage",1
"103",103,103,"Eureka St",94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage",1
"104",104,104,"220 Fairmount St",94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space",0
"105",105,105,"3655 21st St",94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"106",106,106,"2233 Santiago St",94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street",1
"107",107,107,"Maddux Ave",94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage",0
"108",108,108,"2786 38th Ave",94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"109",109,109,"21st Ave",94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA,1
"110",110,110,"Rockdale Dr",94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA,0
"111",111,111,"Orizaba Ave",94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street",0
"112",112,112,"525 20th Avenue # Upper Floor",94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA,1
"113",113,113,"268 Madison St",94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street",1
"114",114,114,"848 N Point St",94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA,1
"115",115,115,"Central Ave",94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA,1
"116",116,116,"1133 Kansas St",94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space",0
"117",117,117,"2351 33rd Ave",94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA,0
"118",118,118,"Washington St",94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA,0
"119",119,119,"Pierce St",94123,25000,4,3.5,3884,"House","Single Family","In Unit",NA,NA,"No",NA,0
"120",120,120,"459 Colon Ave",94127,4700,3,1.5,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"121",121,121,"243 Noriega St",94122,5000,3,2.5,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"122",122,122,"135 Evelyn Way",94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"123",123,123,"21 Summit Way",94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA,1
"124",124,124,"1535 44th Ave",94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA,0
"125",125,125,"831 Marina Blvd",94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA,1
"126",126,126,"869 Faxon Ave",94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space",0
"127",127,127,"253 Friedell St",94124,4500,3,2.5,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage",0
"128",128,128,"727 Green St",94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA,0
"129",129,129,"1731 Vallejo St",94123,9500,2,2.5,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage",1
