"","X.1","X","Address","Zip","Rent","Beds","Ba","Area","Bldg","Type","Laundry","Heating","Cooling","Pets","Parking","test"
"80",166,166,16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA,0
"81",170,170,1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space",0
"82",171,171,9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA,0
"83",173,173,25,94123,25000,4,3.5,3884,"House","Single Family","In Unit",NA,NA,"No",NA,0
"84",174,174,15,94127,4700,3,1.5,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"85",177,177,5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA,0
"86",181,181,11,94124,4500,3,2.5,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage",0
"87",182,182,17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA,0
"88",183,183,4,94123,9500,2,2.5,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage",0
"89",184,184,22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage",0
"90",188,188,23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage",0
"91",189,189,13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"92",192,192,24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street",0
"93",194,194,12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street",0
"94",195,195,19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA,0
"95",196,196,21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA,0
"96",200,200,25,94123,25000,4,3.5,3884,"House","Single Family","In Unit",NA,NA,"No",NA,0
"97",201,201,15,94127,4700,3,1.5,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"98",203,203,2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"99",204,204,5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA,0
"100",205,205,3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA,0
"101",210,210,4,94123,9500,2,2.5,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage",0
"102",211,211,22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage",0
"103",213,213,14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA,0
"104",218,218,26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA,0
"105",219,219,24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street",0
"106",220,220,16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA,0
"107",221,221,12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street",0
"108",222,222,19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA,0
"109",223,223,21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA,0
"110",224,224,1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space",0
"111",226,226,27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA,0
"112",229,229,10,94122,5000,3,2.5,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA,0
"113",230,230,2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"114",231,231,5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA,0
"115",236,236,17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA,0
"116",237,237,4,94123,9500,2,2.5,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage",0
"117",238,238,22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage",0
