"","X.1","X","Address","Zip","Rent","Beds","Ba","Area","Bldg","Type","Laundry","Heating","Cooling","Pets","Parking","test"
"37",68,68,2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"38",72,72,20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space",1
"39",76,76,22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage",1
"40",77,77,7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space",1
"41",78,78,14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"42",80,80,23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage",1
"43",83,83,26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA,1
"44",88,88,21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA,1
"45",89,89,1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space",1
"46",90,90,9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA,1
"47",91,91,27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA,1
"48",92,92,25,94123,25000,4,3.5,3884,"House","Single Family","In Unit",NA,NA,"No",NA,1
"49",94,94,10,94122,5000,3,2.5,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"50",95,95,2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"51",98,98,18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA,1
"52",99,99,20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space",1
"53",102,102,4,94123,9500,2,2.5,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage",1
"54",103,103,22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage",1
"55",104,104,7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space",1
"56",105,105,14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"57",108,108,13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"58",109,109,6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA,1
"59",110,110,26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA,1
"60",112,112,16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA,1
"61",115,115,21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA,1
"62",116,116,1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space",1
"63",117,117,9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA,1
"64",118,118,27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA,1
"65",119,119,25,94123,25000,4,3.5,3884,"House","Single Family","In Unit",NA,NA,"No",NA,1
"66",121,121,10,94122,5000,3,2.5,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
