Column1,X,Address,Rent,Beds,Ba,Area,Type,Laundry,Heating,Cooling,Pets,Parking,zip
188,188,2025 Balboa St # 1,2850,2,1,868,Apartment,NA,Forced air,NA,No,On street,94121
393,393,2016 California St APT 2,2995,1,1,NA,Apartment,NA,NA,NA,No,On street,94109
161,161,2010 Pacific Ave APT 12,8000,3,3,NA,Apartment,In Unit,Forced air,NA,"Cats, small dogs",Garage - Attached,94109
77,77,2001 Pierce St APT 64,3100,Studio,1,NA,Apartment,NA,NA,NA,"Cats, small dogs",NA,94115
255,255,200 29th St UNIT 2,4995,2,2.5,1294,Multi Family,In Unit,NA,NA,"Cats, large dogs, small dogs",2 spaces,94131
418,418,20 Natick St # 1A,5185,3,2,1392,Apartment,In Unit,NA,NA,"Cats, large dogs, small dogs","Carport, Garage - Detached",94131
248,248,2 Mint Plz STE 407,3400,1,1,658,Multi Family,NA,Forced air,Central,NA,"Carport, Garage - Attached, Off street, On street",94103
218,218,2 Crestline Dr APT 4,2495,1,1,NA,Apartment,NA,NA,Central,No,"Carport, Off street",94131
183,183,19th Ave,3695,2,1,NA,Multi Family,Shared,Radiant,None,"Cats, small dogs",Garage - Attached,94121
330,330,1998 Broadway APT 701,4950,2,2,1030,Multi Family,Shared,NA,NA,"Cats, small dogs",Garage - Detached,94109
6,6,1980 Washington St,4600,1,1,900,Apartment,Shared,NA,NA,Cats,Garage - Attached,94109
401,401,1966 Pacific Ave,6200,2,2,1115,Multi Family,In Unit,NA,NA,No,"Carport, Garage - Attached, Off street",94109
341,341,1951 48th Ave,2900,2,1,2200,Apartment,NA,NA,NA,No,Garage - Attached,94116
215,215,195 Collingwood St,3250,1,1,NA,Apartment,NA,Forced air,NA,No,NA,94114
335,335,191 Frederick St APT 14,2250,Studio,1,NA,Multi Family,Shared,NA,NA,Cats,NA,94117
65,65,1887 Hayes St,2695,1,1,NA,Multi Family,NA,NA,NA,No,NA,94117
286,286,188 15th Ave,5195,2,2,1600,Multi Family,NA,NA,NA,"Cats, small dogs",NA,94118
177,177,1870 Washington St,2250,Studio,1,300,Multi Family,NA,NA,NA,NA,NA,94109
137,137,1865 Bush St APT 104,3600,2,1.5,NA,Multi Family,NA,NA,NA,No,NA,94109
37,37,1862 23rd Ave,4500,2,2,2278,Apartment,Shared,Forced air,Other,No,"Garage - Attached, Off street, On street",94122
251,251,1849 Clay St APT 5,4200,2,1,NA,Multi Family,NA,NA,NA,NA,NA,94109
244,244,1845 Gough St,3450,2,1,NA,Apartment,Shared,Forced air,NA,No,NA,94109
24,24,1834 Eddy St,2500,1,1,1396,Multi Family,NA,NA,NA,NA,NA,94115
102,102,183 Castro St,2995,1,1,NA,Apartment,NA,NA,NA,Cats,NA,94114
414,414,1816 Filbert St,2350,1,1,NA,Apartment,Shared,NA,NA,No,On street,94123
390,390,1815 Powell St APT 11,1900,Studio,1,NA,Apartment,NA,NA,NA,Cats,NA,94133
304,304,1769 Lombard St # A,2800,1,1,775,Apartment,NA,Forced air,NA,"Cats, large dogs, small dogs",NA,94123
394,394,1740 Filbert St # 1ST,3499,2,1,700,Apartment,NA,Forced air,NA,"Cats, small dogs",Garage - Attached,94123
193,193,1740 Beach St APT 16,2600,1,1,NA,Multi Family,NA,NA,NA,Cats,9 spaces,94123
292,292,1737 Scott St,3995,2,2,NA,Apartment,In Unit,Forced air,NA,No,NA,94115
181,181,1735 Dolores St # A,3000,1,1,300,Apartment,Shared,NA,NA,No,NA,94110
327,327,1728 Bryant St # COMMERCIAL,3900,1,1,NA,Apartment,NA,NA,NA,No,NA,94110
260,260,1700 Beach St APT 304,3000,1,1,NA,Multi Family,NA,NA,NA,Cats,15 spaces,94123
320,320,16th Ave,2100,1,1,NA,Multi Family,Shared,Radiant,None,No,On street,94118
368,368,1695 10th Ave APT 2,2350,1,1,NA,Apartment,Shared,NA,Central,No,On street,94122
85,85,1690 Golden Gate Ave APT 03,2975,1,1,NA,Multi Family,NA,NA,NA,Small dogs,NA,94115
138,138,1681 Union St,4500,2,1,1235,Apartment,Shared,Forced air,NA,No,Garage - Attached,94123
337,337,168 Hyde St APT 407,1700,Studio,1,225,Apartment,Shared,Forced air,NA,No,On street,94102
213,213,1678 Dolores St,4300,2,1,3100,Apartment,In Unit,Forced air,NA,No,Garage - Attached,94110
35,35,166 Middlefield Dr # 166,5000,4,3,NA,Multi Family,NA,NA,NA,NA,NA,94132
283,283,1645 Golden Gate Ave APT 2,3395,1,1,775,Apartment,Shared,NA,NA,No,NA,94115
62,62,1640 Vallejo St APT 2,2845,1,1,NA,Apartment,NA,NA,NA,"Cats, small dogs",NA,94123
364,364,1640 Golden Gate Ave # 10,1750,Studio,1,NA,Multi Family,NA,NA,NA,No,NA,94115
238,238,1635 Gough St APT 501,2895,1,1,775,Multi Family,NA,NA,NA,NA,Garage - Detached,94109
293,293,1633 California St APT 114,2600,1,1,NA,Apartment,NA,NA,NA,No,NA,94109
97,97,1619 Fulton St,5800,3,1.5,1640,Multi Family,In Unit,NA,NA,NA,NA,94117
250,250,1611 Vallejo St APT 402,4000,2,1,NA,Multi Family,NA,NA,NA,No,NA,94123
98,98,1608 Cayuga Ave,3195,2,1,1198,Apartment,NA,NA,NA,No,Off street,94112
271,271,15th StIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property,5850,3,1.5,1800,Multi Family,In Unit,Forced air,None,No,Garage - Attached,94114
59,59,1588 Stillwell Rd APT F,3775,3,1,840,Apartment,In Unit,Forced air,NA,No,Carport,94129
44,44,1580 Lombard St APT 1,3950,2,1,725,Multi Family,NA,NA,NA,No,Garage - Attached,94123
159,159,1580 Beach St APT 104,3995,1,1,1000,Apartment,NA,NA,NA,Cats,Garage - Attached,94123
116,116,1573 48th Ave APT 6,2750,2,1,840,Apartment,Shared,NA,NA,No,Garage - Attached,94122
314,314,1531 Francisco St,2495,Studio,1,600,Apartment,NA,NA,NA,No,On street,94123
319,319,1530 Pershing Dr APT A,3385,2,1,835,Apartment,In Unit,NA,NA,No,"Carport, Off street",94129
370,370,1530 Irving St APT 1,2395,1,1,NA,Multi Family,Shared,NA,NA,No,NA,94122
417,417,1530 Gough St APT 405,2400,Studio,1,600,Multi Family,NA,NA,NA,NA,NA,94109
164,164,1530 Dolores St APT 2,4950,3,1,NA,Apartment,In Unit,Forced air,NA,No,NA,94110
214,214,1522 46th Ave # STUDIO,2000,Studio,1,350,Multi Family,Shared,NA,NA,NA,NA,94122
113,113,1512 Great Hwy # 1,2350,1,1,600,Apartment,Shared,Forced air,NA,No,NA,94122
84,84,1499 Union St APT 05,2975,1,1,NA,Multi Family,NA,NA,NA,Small dogs,NA,94109
108,108,1493 Francisco St,4000,2,1,NA,Apartment,NA,NA,NA,No,Garage - Attached,94123
117,117,149 Dore St,3995,2,2,NA,Apartment,NA,NA,NA,Cats,NA,94103
18,18,146 Connecticut St APT 2,6000,3,2,1516,Multi Family,NA,NA,NA,No,NA,94107
276,276,145 Bella Vista Way # A,5995,3,2,1700,Apartment,In Unit,NA,NA,"Cats, large dogs, small dogs",Garage - Attached,94127
110,110,1446 Washington St,3150,1,1,NA,Apartment,Shared,NA,NA,No,NA,94109
258,258,1446 Jackson St APT 6,3995,2,1,1250,Multi Family,NA,NA,NA,No,NA,94109
60,60,1446 18th Ave,4600,3,1,1500,Apartment,Shared,Forced air,NA,"Cats, small dogs","Garage - Attached, Off street",94122
109,109,1443 17th Ave,3888,2,2,1400,Apartment,In Unit,Forced air,NA,No,"Off street, On street",94122
95,95,1441 Clay St,3550,2,1,NA,Multi Family,NA,NA,NA,No,NA,94109
268,268,1440 Clement St,3995,3,2,825,Apartment,NA,Forced air,NA,No,On street,94118
310,310,1437 17th Avenue # FL 1ST,4000,2,2,NA,Apartment,NA,Forced air,NA,No,Off street,94122
131,131,1435 Fulton St APT A,2895,1,1,NA,Multi Family,NA,NA,NA,No,NA,94117
226,226,1434 Washington St,4850,2,1,1396,Multi Family,In Unit,Forced air,NA,NA,Garage - Attached,94109
49,49,1433 Clay St APT 15,5995,3,2,NA,Apartment,In Unit,NA,NA,"Cats, large dogs, small dogs",NA,94109
201,201,1429 Leavenworth St APT 304,2195,Studio,1,NA,Apartment,NA,NA,NA,No,NA,94109
253,253,1420 Jones St,3000,1,1,NA,Apartment,NA,NA,NA,No,Off street,94109
396,396,1415 5th Ave APT 2,2600,1,1,NA,Multi Family,NA,NA,NA,No,NA,94122
313,313,1405 Van Ness Ave,3595,2,1,NA,Apartment,Shared,Forced air,NA,"Cats, small dogs",Off street,94109
170,170,1403 Jackson St,2850,1,1,490,Apartment,NA,NA,NA,No,Garage - Attached,94109
88,88,1401 41st Ave,3300,3,1,2279,Apartment,Shared,NA,NA,No,On street,94122
363,363,140 Jersey St,5195,3,1,1200,Apartment,In Unit,NA,NA,"Cats, small dogs",Garage - Attached,94114
387,387,139 Porter St,2950,2,2,NA,Apartment,In Unit,NA,NA,No,Garage - Attached,94110
264,264,1386 Mcallister St # 5,3999,2,1,NA,Apartment,NA,Forced air,NA,"Cats, large dogs, small dogs",On street,94115
173,173,1375 Green St APT 10,2900,Studio,1,500,Multi Family,NA,Forced air,NA,NA,On street,94109
236,236,1351 Divisadero St APT 1,3300,2,1,900,Apartment,Shared,NA,NA,"Cats, small dogs",NA,94115
20,20,135 Evelyn Way # DETACH,5880,5,3,1650,Apartment,In Unit,Forced air,NA,No,On street,94127
274,274,135 Corwin St,2795,1,1,NA,Multi Family,NA,NA,NA,NA,NA,94114
78,78,135 8th St APT 5,2995,2,1,NA,Multi Family,NA,NA,NA,NA,NA,94103
325,325,1335 Bay St APT 3,3600,1,1,567,Apartment,Shared,Forced air,Other,No,Garage - Attached,94123
329,329,1333 Hayes St,10895,5,2,1700,Multi Family,NA,NA,NA,"Cats, small dogs",On street,94117
267,267,1330 Pine St APT 8,2100,Studio,1,NA,Apartment,NA,Forced air,NA,No,NA,94109
211,211,1328 Larkin St # TOP,12000,8,3,1635,Apartment,In Unit,Forced air,Central,NA,On street,94109
372,372,1315 Cole St,6290,3,1,1900,Multi Family,NA,NA,NA,"Cats, small dogs",NA,94117
392,392,131 Hartford St # B,4000,2,1,900,Multi Family,In Unit,NA,NA,"Cats, large dogs, small dogs",Garage - Detached,94114
272,272,1293 6th Ave,2700,Studio,1,NA,Apartment,NA,Forced air,NA,No,On street,94122
397,397,1289 22nd Ave APT 103,2650,2,1,NA,Multi Family,NA,Forced air,NA,No,"Carport, Garage - Attached",94122
275,275,1280 Minnesota St APT 103,4650,2,2,1125,Multi Family,NA,NA,NA,No,NA,94107
169,169,1278 Jackson St,3950,1,1,800,Apartment,NA,NA,NA,No,Off street,94109
22,22,1257 Bush St,7000,Studio,1,NA,Apartment,Shared,NA,NA,NA,NA,94109
422,422,1255 Taylor St APT 1,3500,1,1,750,Apartment,NA,Forced air,Central,No,On street,94108
359,359,125 Gilbert St APT 8,5000,2,2.5,1540,Multi Family,In Unit,Forced air,NA,NA,Garage - Attached,94103
38,38,124 Locksley Ave APT 1,2795,1,1,800,Multi Family,Shared,NA,NA,NA,"Garage - Detached, Off street",94122
167,167,1233 California St APT 306,2400,Studio,1,NA,Apartment,Shared,NA,NA,No,NA,94109
101,101,123 Guerrero St APT 3,2995,1,1,NA,Multi Family,NA,NA,NA,NA,NA,94103
202,202,1225 Bay St,3995,2,1,NA,Apartment,Shared,NA,NA,No,Garage - Attached,94123
399,399,1220 14th Ave,2550,1,1,NA,Apartment,Shared,Forced air,NA,Cats,Carport,94122
185,185,120 Parker Ave APT 301,4000,2,2,1000,Multi Family,Shared,Forced air,Central,Cats,NA,94118
156,156,1190 Haight Street 10 Lyon # 208,2995,Studio,1,NA,Multi Family,NA,NA,NA,NA,NA,94117
311,311,1184 Alabama St,3600,3,1,900,Apartment,NA,Forced air,NA,Cats,NA,94110
356,356,1177 California St APT 814,5500,2,2.5,1399,Multi Family,NA,NA,NA,NA,NA,94108
285,285,1170 Sacramento St APT 16A,14000,2,2,2070,Multi Family,NA,NA,NA,"Cats, small dogs",NA,94108
103,103,1161 Stanyan St APT 1B,2240,1,1,700,Apartment,Shared,Forced air,NA,No,On street,94117
225,225,1160 Mission St UNIT 1212,3400,1,1,660,Multi Family,NA,NA,NA,NA,1 space,94103
317,317,1153 Fell St,4500,3,1,2788,Apartment,Shared,Forced air,NA,"Cats, small dogs",NA,94117
411,411,113 Laidley St # A,2750,1,1,700,Multi Family,NA,NA,NA,Cats,NA,94131
174,174,1124 Greenwich St,3750,1,1,1800,Multi Family,NA,NA,NA,NA,Garage - Attached,94109
200,200,1123 Green St,17900,8,4,3451,Apartment,In Unit,Forced air,Central,NA,On street,94109
19,19,1122 Sutter St APT 12,1800,Studio,1,NA,Apartment,NA,Forced air,NA,No,NA,94109
57,57,1117 Ocean Ave,5695,Studio,NA,19486,Multi Family,"In Unit, Shared",Forced air,Central,"Cats, small dogs","Garage - Attached, On street",94112
377,377,1115 Polk St APT 31,2495,1,1,500,Multi Family,NA,NA,NA,NA,On street,94109
158,158,1114 Sutter St APT 503,1695,Studio,1,350,Apartment,Shared,Forced air,NA,Cats,NA,94109
132,132,1114 Broadway # 2,2700,1,1,NA,Apartment,NA,NA,NA,No,NA,94109
367,367,1108 Lake St,2975,2,1,NA,Apartment,NA,NA,Central,No,On street,94118
315,315,1101 999 Pine St # 1101,3595,1,1,650,Multi Family,In Unit,NA,NA,NA,Garage - Attached,94108
206,206,1100-1104 Fell Street 1100 Fell Street 501-505 S,5795,3,2,NA,Apartment,NA,NA,NA,No,NA,94117
