Column1,Address,Zip,Monthly_Rent_USD,Bedrooms,Bathrooms,Area_SqFt,Building,Laundry,Heating,Cooling,Pets,Parking
320,220 Fairmount St,94131,4300,2,1,1485,House,NA,Other,NA,Yes,Available 
321,3655 21st St,94114,10000,3,2,2212,House,In Unit,NA,NA,Yes,NA
322,2233 Santiago St,94116,2100,2,1,500,House,NA,NA,NA,Yes,Street
323,Maddux Ave,94124,3900,3,2,1200,House,In Unit,Forced air,NA,No,Garage
324,2786 38th Ave,94116,5400,5,3,NA,House,In Unit,Forced air,NA,Yes,Street
325,21st Ave,94132,5400,3,2,NA,House,In Unit,Forced air,None,No,NA
326,Rockdale Dr,94127,4800,3,1,1320,House,In Unit,NA,NA,No,NA
327,Orizaba Ave,94132,2500,2,1,1075,House,Shared,Forced air,NA,No,Street
328,525 20th Avenue # Upper Floor,94121,4250,2,1,NA,House,NA,Forced air,NA,Yes,NA
329,268 Madison St,94134,2000,1,1,650,House,NA,Forced air,Central,Yes,Street
330,848 N Point St,94109,4900,2,2,1200,House,NA,NA,NA,No,NA
331,Central Ave,94117,14000,5,3,2830,House,NA,Radiant,Central,No,NA
332,1133 Kansas St,94107,8900,3,2,2000,House,In Unit,Forced air,None,Yes,Available 
333,2351 33rd Ave,94116,5500,4,2,1450,House,Shared,NA,NA,No,NA
334,Washington St,94115,15000,3,2,2488,House,NA,NA,NA,No,NA
335,Pierce St,94123,25000,4,3.5,3884,House,In Unit,NA,NA,No,NA
336,459 Colon Ave,94127,4700,3,1.5,1751,House,In Unit,Forced air,NA,Yes,Street
337,243 Noriega St,94122,5000,3,2.5,1675,House,In Unit,NA,NA,Yes,NA
338,135 Evelyn Way,94127,5880,5,3,1650,House,In Unit,Forced air,NA,Yes,Street
339,21 Summit Way,94132,6500,3,2,NA,House,NA,NA,NA,No,NA
340,1535 44th Ave,94122,5500,3,2,1300,House,In Unit,Forced air,NA,Yes,NA
341,831 Marina Blvd,94123,13500,3,4,2420,House,NA,NA,NA,Yes,NA
342,869 Faxon Ave,94112,4950,2,1,1450,House,NA,Forced air,NA,No,Available 
343,253 Friedell St,94124,4500,3,2.5,1318,House,In Unit,Forced air,"Central, Other",No,Garage
344,727 Green St,94133,5500,4,5,1200,House,NA,NA,NA,Yes,NA
345,1731 Vallejo St,94123,9500,2,2.5,2400,House,In Unit,Forced air,NA,No,Garage
346,Eureka St,94114,10000,4,3,NA,House,In Unit,Forced air,None,No,Garage
347,220 Fairmount St,94131,4300,2,1,1485,House,NA,Other,NA,Yes,Available 
348,3655 21st St,94114,10000,3,2,2212,House,In Unit,NA,NA,Yes,NA
349,2233 Santiago St,94116,2100,2,1,500,House,NA,NA,NA,Yes,Street
350,Maddux Ave,94124,3900,3,2,1200,House,In Unit,Forced air,NA,No,Garage
351,2786 38th Ave,94116,5400,5,3,NA,House,In Unit,Forced air,NA,Yes,Street
352,Waller St,94117,4100,2,1,NA,Apt,Shared,Forced air,NA,Yes,Both
353,Waller St,94117,3500,1,1,NA,Apt,Shared,NA,NA,Yes,Both
354,"Venn,The Haight Ashbury floorplan 1844 Market St",94102,NA,1,1,676,Apt,In Unit,NA,NA,No,NA
355,Van Ness Ave,94102,4700,1,1,830,Apt,In Unit,NA,NA,Yes,NA
356,Vallejo St,94123,5350,2,2,1500,Apt,Shared,Baseboard,Central,Yes,Garage
357,Vallejo St,94123,3900,2,1,NA,Apt,Shared,Wall,None,Yes,Garage
358,Union St,94123,5500,Studio,1,1500,Apt,Shared,Forced air,None,Yes,Both
359,Tehama St,94105,4000,1,1,NA,Apt,NA,Forced air,None,Yes,None
360,Sutter St,94109,2295,Studio,1,NA,Apt,Shared,Baseboard,None,Yes,Both
361,Sacramento St,94115,5495,2,2,1550,Apt,Shared,Radiant,NA,Yes,Garage
362,Russia Ave,94112,3000,2,1,940,Apt,Shared,Forced air,NA,Yes,NA
363,Rausch St,94103,2550,1,1,NA,Apt,In Unit,Wall,None,Yes,Both
364,Quesada Ave,94124,1900,1,1,650,Apt,Shared,NA,NA,Yes,Both
365,Pine St,94109,2295,1,1,NA,Apt,Shared,Wall,None,Yes,Both
366,Pacific Ave,94109,4250,2,2,NA,Apt,Shared,Forced air,None,Yes,Garage
367,Octavia St,94123,4200,2,2,NA,Apt,Shared,NA,NA,Yes,Both
368,Noe St,94131,3499,2,1,NA,Apt,Shared,Forced air,NA,Yes,Both
369,New Montgomery St,94105,5500,1,1,700,Apt,In Unit,NA,NA,No,NA
370,Murray St,94110,3800,3,1,NA,Apt,Shared,Forced air,NA,Yes,Both
371,Mission St,94103,3095,1,1,765,Apt,In Unit,Forced air,None,Yes,Garage
372,Mission St,94103,3175,1,1,NA,Apt,In Unit,Forced air,Central,Yes,Both
373,Mission St,94103,4495,2,2,1075,Apt,In Unit,Forced air,Central,Yes,Garage
374,Mission St,94103,5900,2,2,1031,Apt,In Unit,Forced air,Central,No,NA
375,Mission St,94103,3195,1,1,756,Apt,In Unit,Forced air,None,Yes,Both
376,Mcallister St,94118,4500,1,1,645,Apt,In Unit,NA,NA,No,NA
377,Masonic Ave,94117,4675,2,2,1250,Apt,Shared,NA,NA,Yes,Garage
378,Lombard St,94123,2250,Studio,1,NA,Apt,Shared,Forced air,NA,Yes,Both
379,Lincoln Way,94122,2750,1,1,NA,Apt,Shared,NA,NA,Yes,Both
380,Laguna St,94123,2400,Studio,1,NA,Apt,Shared,Baseboard,None,Yes,Garage
381,Hayes St,94102,5750,3,2,NA,Apt,Shared,Wall,None,Yes,Both
382,Harrison St,94105,3299,1,1,658,Apt,In Unit,NA,NA,Yes,Garage
383,Greenwich St,94123,2850,1,1,NA,Apt,Shared,Forced air,NA,Yes,Garage
384,Greenwich St,94123,5900,2,1,1100,Apt,In Unit,NA,NA,No,NA
385,Greenwich St,94123,4250,2,1,NA,Apt,Shared,Forced air,NA,Yes,Garage
386,Golden Gate Ave,94118,2150,1,1,NA,Apt,Shared,Forced air,None,Yes,Both
387,Funston Ave,94118,3600,2,2,NA,Apt,Shared,NA,NA,Yes,Both
388,Francisco St,94133,10000,2,2,1400,Apt,NA,Radiant,Central,Yes,Garage
389,Folsom St,94110,3000,1,1,1632,Apt,NA,NA,NA,Yes,Both
390,Fillmore St,94115,4500,2,1,NA,Apt,Shared,NA,NA,Yes,Garage
391,Divisadero St,94115,6950,3,1,NA,Apt,Shared,NA,NA,Yes,Both
392,Dalewood Way #,94127,2800,1,1,825,Apt,Shared,Forced air,NA,Yes,Garage
393,Clement St,94118,2495,1,1,NA,Apt,Shared,Radiant,None,Yes,Both
394,Clement St,94118,4500,4,2,NA,Apt,NA,NA,NA,Yes,NA
395,Clayton St,94114,2800,1,1,NA,Apt,Shared,Forced air,Central,Yes,Garage
396,Cervantes Blvd,94123,3900,1,1,NA,Apt,Shared,NA,NA,Yes,NA
397,California St,94109,2795,1,1,NA,Apt,Shared,Baseboard,Central,Yes,Garage
398,California St,94109,2650,1,1,NA,Apt,Shared,NA,NA,Yes,Both
399,California St,94109,3645,1,1,NA,Apt,In Unit,Forced air,NA,Yes,Garage
400,Buena Vista Ter,94117,5400,2,2,1100,Apt,In Unit,NA,NA,Yes,NA
401,Buchanan St,94102,4750,2,2,NA,Apt,In Unit,Forced air,NA,Yes,Garage
402,Buchanan St,94102,4650,1,1,600,Apt,In Unit,NA,NA,No,Garage
403,Brosnan St,94103,8500,3,3.5,NA,Apt,In Unit,Forced air,None,Yes,Garage
404,Broadway,94109,4200,1,1,NA,Apt,Shared,Radiant,None,Yes,Garage
405,Broadway St,94115,4500,1,1,NA,Apt,Shared,Forced air,None,Yes,Garage
406,Brannan St,94107,6000,2,2,1200,Apt,NA,Forced air,Central,Yes,Garage
407,Bay St,94133,2895,1,1,850,Apt,Shared,Forced air,Central,Yes,Garage
408,Ashbury St,94117,3595,2,1,NA,Apt,Shared,Wall,None,Yes,Both
409,995 Clayton St,94117,3850,2,1,1200,Apt,Shared,NA,Central,Yes,Garage
410,980 Capp St,94110,2300,1,1,4882,Apt,NA,Forced air,Wall,Yes,NA
411,955 Bush St APT 506,94109,1850,Studio,1,NA,Apt,NA,NA,NA,No,NA
412,95 Orange Aly # 101,94110,4600,2,1,NA,Apt,In Unit,NA,NA,Yes,NA
413,95 Grand View Ave,94114,3550,1,1,623,Apt,NA,NA,NA,No,Garage
414,940-942 Hayes,94117,4595,2,1,879,Apt,NA,NA,NA,No,NA
415,94 Sussex St,94131,3900,1,1,1200,Apt,In Unit,Forced air,NA,Yes,Available
416,919 Sutter St,94109,1895,Studio,1,575,Apt,Shared,NA,NA,Yes,Both
417,904 Corbett Ave,94131,3245,2,1,NA,Apt,NA,NA,NA,Yes,Garage
418,90 Alhambra St APT 201,94123,2330,Studio,1,480,Apt,Shared,NA,NA,Yes,Garage
419,899 Green St APT 110,94133,3400,1,1,NA,Apt,NA,NA,NA,No,NA
420,875 Le Conte Avenue # First Floor,94124,2850,2,2,NA,Apt,NA,NA,NA,Yes,Both
421,855 Folsom St APT 903,94107,4799,2,2,1100,Apt,In Unit,Forced air,NA,Yes,Both
422,85 Richland Ave APT 1,94110,2195,1,1,NA,Apt,NA,NA,NA,Yes,NA
423,85 Carl St APT 14,94117,2795,2,1,700,Apt,NA,NA,NA,Yes,Both
424,839 Jones St APT 11,94109,2245,Studio,1,NA,Apt,NA,NA,NA,Yes,NA
425,833 Ashbury St APT 4,94117,4500,2,1,1000,Apt,Shared,NA,NA,Yes,NA
426,83 Mcallister St APT 505,94102,2995,1,1,409,Apt,Shared,NA,NA,Yes,Both
427,829 Leavenworth St APT 600,94109,4195,2,1,NA,Apt,NA,NA,NA,Yes,NA
428,825 Geary St,94109,2795,1,1,1000,Apt,Shared,Forced air,NA,Yes,NA
429,824 Brazil Ave,94112,4600,3,2,NA,Apt,Shared,NA,NA,Yes,NA
430,823 Carolina St,94107,2500,Studio,1,800,Apt,Shared,Forced air,NA,Yes,Both
431,821 Geary St APT 4,94109,2095,Studio,1,NA,Apt,NA,NA,NA,Yes,NA
432,8200 Oceanview Ter APT 213,94132,2880,1,1,784,Apt,In Unit,NA,NA,Yes,NA
433,811 14th St,94114,3750,2,1,NA,Apt,NA,NA,NA,Yes,NA
434,810 Eddy St,94109,2150,Studio,1,NA,Apt,Shared,NA,NA,Yes,NA
435,807 Burnett Ave APT 3,94131,5950,2,2,NA,Apt,Shared,Forced air,NA,Yes,Garage
436,802 Hayes St APT 6,94117,2250,1,1,NA,Apt,NA,NA,NA,Yes,NA
437,8 Steiner St,94117,4100,1,1,640,Apt,In Unit,Forced air,NA,Yes,Garage
438,795 Pine St,94108,2795,Studio,1,892,Apt,In Unit,Forced air,Other,No,Both
439,791 7th Ave # 2ND,94118,2800,1,1,NA,Apt,NA,NA,NA,Yes,Both
440,790 California St,94108,2450,Studio,1,300,Apt,Shared,NA,NA,Yes,NA
441,790 43rd Ave # INLAW,94121,2300,2,1,460,Apt,NA,Forced air,NA,Yes,Both
442,781 Guerrero St,94110,3450,2,1,NA,Apt,NA,NA,NA,No,NA
443,775 Post St,94109,3800,2,1,1000,Apt,Shared,NA,NA,Yes,NA
444,7700 Geary Blvd,94121,2595,1,1,NA,Apt,NA,NA,NA,Yes,Garage
445,770 Natoma St APT 5,94103,3590,2,1,560,Apt,NA,NA,NA,Yes,Both
446,77 Bluxome St,94107,2452,Studio,1,233,Apt,NA,NA,NA,No,NA
447,765 Ofarrell St APT 7,94109,1850,Studio,NA,475,Apt,NA,NA,Wall,No,Both
448,760 12th Avenue # Top Floor,94118,5200,2,2,1600,Apt,In Unit,Forced air,Central,Yes,Garage
449,756 Page St APT 5,94117,5895,3,2,NA,Apt,NA,NA,NA,Yes,NA
450,747 Geary St,94109,2895,1,1,860,Apt,Shared,NA,NA,Yes,NA
451,747 16th Ave,94118,4200,3,2,4351,Apt,Shared,Forced air,Central,Yes,Both
452,74 Cook St,94118,4200,3,2,NA,Apt,NA,Forced air,NA,Yes,Both
453,738 Long Bridge St APT 512,94158,5495,2,2,1210,Apt,NA,Forced air,Central,Yes,NA
454,733 Front St UNIT 507,94111,4295,1,1,NA,Apt,NA,NA,NA,No,NA
455,731 Waller St # B,94117,3195,1,1,NA,Apt,Shared,Forced air,NA,Yes,NA
456,729 18th Ave,94121,4500,2,1,1600,Apt,In Unit,Forced air,NA,Yes,NA
457,722 Larkin St APT 7,94109,2700,2,1,NA,Apt,NA,NA,NA,Yes,NA
458,716 2nd Ave APT 3,94118,3495,1,1,550,Apt,NA,NA,NA,Yes,Available
459,711 22nd St,94107,2500,1,1,550,Apt,Shared,NA,NA,Yes,NA
460,709 Clayton St,94117,3450,1,1,800,Apt,NA,NA,NA,Yes,NA
461,690 Pennsylvania Ave APT 119,94107,3900,1,1.5,1152,Apt,NA,NA,NA,No,NA
462,633 Masonic Ave,94117,6500,2,1,3110,Apt,NA,Forced air,NA,Yes,Both
463,628 Hyde Street # FL GROUND,94109,2400,Studio,1,550,Apt,NA,Forced air,NA,Yes,NA
464,627 Corbett Ave APT 5,94114,2200,Studio,1,200,Apt,Shared,Forced air,NA,Yes,Both
465,625 Leavenworth St APT 303,94109,2095,Studio,1,NA,Apt,Shared,NA,NA,Yes,NA
466,615 Minna St APT B,94103,3500,2,1,650,Apt,NA,NA,NA,Yes,NA
467,615 Greenwich St,94133,3900,1,1,NA,Apt,In Unit,NA,NA,Yes,NA
468,615 15th Ave # B,94118,2000,Studio,1,NA,Apt,NA,NA,NA,No,NA
469,614 4th Ave # A,94118,2600,1,1,500,Apt,NA,NA,NA,Yes,Both
470,605 Washington St,94111,3050,1,1,983,Apt,NA,NA,NA,Yes,Both
471,601 Burnett Ave APT 6,94131,3095,1,1,500,Apt,NA,NA,NA,Yes,NA
472,6 Mint Plz APT 303A,94103,5000,2,1,712,Apt,NA,NA,NA,No,NA
473,5900 3rd St UNIT 2308,94124,3490,2,2,1016,Apt,In Unit,NA,NA,Yes,Garage
474,571 Minna St,94103,3795,2,2,NA,Apt,Shared,NA,NA,Yes,NA
475,562 Belvedere St APT 4,94117,3795,2,1,850,Apt,Shared,NA,NA,Yes,Both
476,560 26th Ave,94121,3100,2,1,NA,Apt,NA,Forced air,NA,Yes,Both
477,549 Lombard St,94133,4950,2,1,1180,Apt,NA,NA,NA,Yes,Both
478,530 Grove St APT 3,94102,2500,Studio,1,NA,Apt,NA,NA,NA,Yes,Both
479,527 3rd St APT 301,94107,2250,1,1,350,Apt,Shared,NA,NA,Yes,Both
480,525 7th Ave,94118,5800,4,2,2125,Apt,NA,Forced air,NA,Yes,NA
481,521 Dolores St,94110,7500,3,2,1750,Apt,In Unit,NA,NA,Yes,Garage
482,52 Rausch St APT 103,94103,3346,1,1.5,756,Apt,NA,NA,NA,No,NA
483,52 Edith St,94133,3595,2,1,600,Apt,NA,NA,NA,No,NA
484,509 Sanchez St,94114,4250,2,1,NA,Apt,In Unit,Forced air,NA,Yes,NA
485,508 Octavia St APT 9,94102,2795,1,1,NA,Apt,NA,NA,NA,Yes,NA
486,500A 19th Ave,94121,3000,2,1,NA,Apt,NA,NA,NA,Yes,Garage
487,5 Alma St APT 3,94117,3750,1,1,962,Apt,NA,NA,NA,Yes,NA
488,499 Marina Blvd APT 104,94123,4000,1,1,1200,Apt,NA,NA,NA,Yes,Available
489,497 Monterey Blvd,94127,3200,2,1,2532,Apt,In Unit,Forced air,NA,Yes,Both
490,495 Francisco St # D,94133,2900,1,1,700,Apt,NA,NA,NA,Yes,Both
491,480 Mission Bay Blvd N UNIT 512,94158,5100,2,2,1226,Apt,In Unit,Forced air,Central,No,Garage
492,476 25th Ave,94121,3450,2,1,1000,Apt,In Unit,NA,NA,Yes,Both
493,4740 Balboa St APT 210,94121,2495,1,1,NA,Apt,NA,NA,NA,Yes,Both
494,473 Elizabeth St APT 1,94114,3995,2,1,875,Apt,In Unit,Forced air,NA,Yes,Both
495,469 Clementina St,94103,3195,1,1,700,Apt,Shared,Forced air,Central,Yes,Garage
496,467 8th Ave APT 1,94118,2825,1,1,750,Apt,Shared,NA,NA,Yes,NA
497,463 Central Ave,94117,4500,3,1,NA,Apt,NA,Forced air,NA,Yes,Both
498,458 Sanchez St # B,94114,3670,1,1,625,Apt,Shared,Forced air,NA,Yes,Garage
499,455 Burnett Ave,94131,2800,1,1,NA,Apt,Shared,NA,NA,Yes,Garage
500,455 14th St # 3RD,94103,6495,3,2,NA,Apt,In Unit,NA,NA,Yes,NA
501,453 Union St # 453A,94133,2800,1,1,600,Apt,NA,NA,NA,Yes,NA
502,451A 26th Ave,94121,5000,4,2,NA,Apt,NA,NA,NA,Yes,NA
503,437 Spruce St,94118,4195,2,1.5,1000,Apt,Shared,Forced air,NA,Yes,Both
504,435 Euclid Ave,94118,2950,1,1,NA,Apt,NA,Forced air,NA,Yes,Both
505,435 China Basin St,94158,4800,2,2,1170,Apt,In Unit,Forced air,Other,No,Garage
506,435 China Basin St UNIT 428,94158,4800,2,2,1185,Apt,NA,NA,NA,No,NA
507,431 Capistrano Ave,94112,2300,2,1,NA,Apt,Shared,Forced air,NA,Yes,Both
508,43 Lobos St,94112,2700,2,1,900,Apt,NA,NA,Central,Yes,Both
509,429 Corbett Avenue # FL 3RD,94114,3770,2,1,980,Apt,Shared,Forced air,NA,Yes,Both
510,425 Marina Blvd,94123,20000,4,4,4610,Apt,In Unit,Forced air,Central,No,NA
511,423 Waller Street 9 423 Waller St # 9,94117,3500,2,1,NA,Apt,NA,NA,NA,No,NA
512,4220 Cesar Chavez St APT 105,94131,3795,2,2,NA,Apt,NA,NA,NA,Yes,NA
513,42 Terra Vista Ave APT 3,94115,4000,1,1,880,Apt,In Unit,NA,NA,No,Both
514,42 Castro St APT 6,94114,2675,Studio,1,NA,Apt,Shared,NA,NA,Yes,NA
515,419 Fulton St APT G,94102,4295,2,1,940,Apt,NA,NA,NA,Yes,NA
516,4156 25th St,94114,5350,3,1,3540,Apt,In Unit,Forced air,NA,Yes,Both
517,4126 17th St,94114,9000,3,3.5,2100,Apt,In Unit,NA,NA,No,Garage
518,41 Cervantes Blvd,94123,8950,3,2,1750,Apt,In Unit,Forced air,NA,Yes,NA
519,403 Main St APT 504N,94105,3150,1,1,483,Apt,In Unit,Forced air,Central,Yes,NA
520,401 Duncan St,94131,3595,2,1,NA,Apt,NA,NA,NA,Yes,NA
521,400 Monterey Blvd APT 1,94127,3350,2,NA,NA,Apt,NA,NA,NA,Yes,Both
522,3rd AveIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property,94118,2750,1,1,NA,Apt,Shared,Wall,None,Yes,Both
523,388 Potrero Ave # 306,94103,3850,1,1,NA,Apt,NA,NA,NA,No,NA
524,388 Beale,94105,4184,1,1,808,Apt,In Unit,NA,NA,Yes,Garage
525,388 Beale,94105,5897,2,2,1224,Apt,In Unit,NA,NA,Yes,Garage
526,3825 Scott St APT 203,94123,3695,1,1,865,Apt,NA,NA,NA,Yes,NA
527,3789 Fillmore St,94123,3500,1,1,1100,Apt,Shared,Forced air,NA,Yes,Both
528,375 27th Ave APT 2,94121,3100,2,1,1000,Apt,Shared,NA,NA,Yes,Garage
529,3726 Broderick St APT 2,94123,3400,1,1,NA,Apt,Shared,NA,NA,Yes,Garage
530,3711 Fillmore St APT 304,94123,3800,2,1,NA,Apt,NA,NA,NA,Yes,Available
531,37 States St APT 8,94114,2495,Studio,1,NA,Apt,NA,NA,NA,No,NA
532,3673-3675 19th Street 3673a 19th St,94110,3800,2,1,NA,Apt,NA,NA,NA,Yes,NA
533,366 22nd Ave # A1,94121,2395,1,1,NA,Apt,Shared,Forced air,NA,Yes,Both
534,36 Sheridan St,94103,5700,3,2,1600,Apt,In Unit,NA,NA,Yes,NA
535,358 12th Ave,94118,3800,3,1,1300,Apt,Shared,Forced air,NA,Yes,Both
536,356 12th Ave APT 6,94118,2900,2,1,NA,Apt,Shared,NA,NA,Yes,Garage
537,3550 23rd St APT 6,94110,4195,2,1,NA,Apt,NA,NA,NA,Yes,Both
538,3546 21st St,94114,2300,Studio,1,500,Apt,Shared,NA,NA,Yes,NA
539,3543 23rd St # B,94110,3095,1,1,NA,Apt,Shared,NA,NA,Yes,Both
540,3518 16th St APT 2,94114,1995,Studio,1,525,Apt,NA,NA,NA,Yes,NA
541,351 Grove St APT 4,94102,2695,1,1,NA,Apt,NA,NA,NA,Yes,NA
542,350 Fremont St,94105,3925,1,1,NA,Apt,In Unit,Forced air,Other,Yes,Both
543,3476 18th St APT 26,94110,1495,Studio,1,NA,Apt,NA,NA,NA,Yes,Both
544,345 Texas St,94107,4200,2,1,3250,Apt,NA,NA,NA,Yes,NA
545,34 Joice St APT 2,94108,2350,1,1,450,Apt,NA,Forced air,NA,Yes,NA
546,33rd Ave,94116,3200,2,2,1200,Apt,Shared,NA,NA,Yes,Garage
547,338 Potrero Ave #402,94103,3950,1,1,673,Apt,In Unit,Forced air,Other,No,NA
548,3350 21st St # A,94110,3695,1,1,5210,Apt,In Unit,Forced air,NA,Yes,NA
549,3346 Clay St,94118,14995,5,3,2754,Apt,NA,NA,NA,Yes,NA
550,3340 Taraval St,94116,3795,3,2,NA,Apt,NA,NA,NA,Yes,Both
551,3322 Buchanan St APT 311,94123,3300,1,1,NA,Apt,NA,NA,NA,Yes,Available
552,3317 Anza St,94121,5800,4,2,1500,Apt,NA,Forced air,NA,Yes,NA
553,330 Mission Bay Blvd N,94158,4800,2,2,1100,Apt,In Unit,NA,NA,No,Garage
554,328 Pennsylvania Ave APT 3,94107,3300,2,1,NA,Apt,NA,NA,NA,Yes,Both
555,3250 Market St APT 5,94114,4750,2,2,1100,Apt,NA,Forced air,NA,Yes,Both
556,3158 Mission St APT 1,94110,4500,4,1.5,800,Apt,NA,NA,NA,No,NA
557,3035 Baker St,94123,5395,2,2,830,Apt,In Unit,NA,NA,Yes,Garage
558,3026 Clement St,94121,5595,4,3.5,1600,Apt,NA,Forced air,NA,Yes,Both
559,300 Berry St 1503 300 Berry St # 1503,94158,3600,1,1,732,Apt,NA,NA,NA,No,NA
560,30 Liberty St,94110,2525,Studio,1,NA,Apt,NA,Wall,NA,Yes,NA
561,29th Ave,94122,1950,1,1,600,Apt,Shared,NA,NA,Yes,Both
562,2995 22nd St,94110,5000,3,1,NA,Apt,NA,NA,NA,Yes,NA
563,2919 Pacheco St,94116,3995,3,2,1356,Apt,Shared,NA,NA,Yes,Garage
564,291 Santos St APT 08,94134,2500,1,1,NA,Apt,NA,NA,NA,No,NA
565,2900 Turk Blvd,94118,4900,2,2,1600,Apt,NA,NA,NA,No,NA
566,2844 Harrison Street # Top Floor,94110,6695,5,1.5,NA,Apt,NA,NA,NA,Yes,NA
567,283 4th Ave APT 4,94118,2550,1,1,NA,Apt,NA,NA,NA,Yes,NA
568,2808 Market St,94114,2995,1,1,500,Apt,In Unit,Forced air,NA,Yes,Garage
569,2801 Jackson St APT 304,94115,6000,2,1,1200,Apt,Shared,NA,NA,Yes,Both
570,2801 Greenwich St,94123,7995,5,2,1650,Apt,In Unit,NA,NA,Yes,NA
571,2775 Market St,94114,3995,2,1,NA,Apt,NA,NA,NA,No,NA
572,2755 Franklin St APT 4,94123,3300,1,1,NA,Apt,Shared,NA,NA,Yes,Garage
573,2750 Mcallister St APT 302,94118,2200,Studio,1,400,Apt,NA,Forced air,NA,Yes,Both
574,2703 Laguna St # 1,94123,2450,Studio,1,NA,Apt,NA,NA,NA,Yes,Both
575,2669 California St APT 1,94115,3000,1,1,850,Apt,Shared,Forced air,NA,Yes,Both
576,2661 California St APT 4,94115,3500,2,1,1000,Apt,NA,NA,NA,Yes,NA
577,2655 Pine St,94115,2650,1,1,NA,Apt,Shared,NA,NA,Yes,Both
578,2652 Harrison St APT 306,94110,3895,1,1.5,NA,Apt,In Unit,Forced air,NA,Yes,Garage
579,2652 Greenwich St # 1,94123,3000,Studio,1,NA,Apt,NA,Forced air,NA,Yes,Both
580,2650 Franklin St,94123,2195,Studio,1,NA,Apt,NA,Forced air,NA,Yes,Garage
581,265 N Point St,94133,2390,Studio,1,NA,Apt,NA,Forced air,NA,Yes,Both
582,2629 Folsom St,94110,2550,1,1,550,Apt,Shared,NA,NA,Yes,Both
583,2626 Great Hwy,94116,3999,2,1,1250,Apt,Shared,Forced air,NA,Yes,Garage
584,2625 Hyde St,94109,5250,4,1,NA,Apt,In Unit,NA,NA,Yes,NA
585,259 Dolores Street # FL 3RD,94103,2850,1,1,600,Apt,Shared,NA,NA,Yes,Both
586,2576 Washington St APT 4,94115,3000,1,1,NA,Apt,Shared,Forced air,NA,Yes,NA
587,257 S Van Ness Ave,94103,6950,Studio,1,4734,Apt,NA,Forced air,NA,No,NA
588,2539 Polk St APT 5,94109,2575,1,1,NA,Apt,Shared,NA,NA,Yes,Both
589,2539 Lombard St,94123,3499,1,1,900,Apt,Shared,Forced air,NA,Yes,Both
590,249 Shipley St APT 9,94107,3800,1,1.5,892,Apt,In Unit,NA,NA,No,Garage
591,2477 California St,94115,4500,1,1,1100,Apt,Shared,Forced air,NA,Yes,Both
592,2450 Greenwich St # A,94123,2550,Studio,1,NA,Apt,NA,NA,NA,Yes,Both
593,2433 Polk St APT 4,94109,3900,1,1,NA,Apt,NA,NA,NA,Yes,NA
594,2425 Buchanan St APT 101,94115,3200,1,1,NA,Apt,NA,NA,NA,Yes,NA
595,2401 23rd Ave APT 4,94116,2095,1,1,NA,Apt,Shared,NA,NA,Yes,NA
596,240 Clinton Park # A,94103,2600,1,1,NA,Apt,Shared,NA,NA,Yes,NA
597,240 Chattanooga St,94114,3295,1,1,650,Apt,Shared,NA,NA,Yes,Both
598,2379 20th Ave APT 6,94116,3197,2,1,NA,Apt,NA,NA,NA,Yes,NA
599,2370 Chestnut St,94123,2450,Studio,1,NA,Apt,NA,NA,NA,No,NA
600,237 Miramar Ave,94112,2850,2,1,NA,Apt,NA,Forced air,NA,Yes,Both
601,2369 Union St APT 4,94123,3495,1,1,700,Apt,NA,NA,NA,Yes,Both
602,2358 Bryant Street # FL 3RD,94110,3650,1,1,900,Apt,Shared,Forced air,NA,Yes,Both
603,2350 Van Ness Ave,94109,2495,Studio,1,NA,Apt,NA,NA,NA,Yes,NA
604,2350 Union St APT 7,94123,4195,2,1,NA,Apt,Shared,NA,NA,Yes,NA
605,235 Berry St APT 518,94158,5995,2,2,NA,Apt,NA,NA,NA,Yes,NA
606,2342 Franklin St,94123,7195,4,2,1964,Apt,In Unit,Forced air,NA,Yes,Both
607,2341 Union St APT 3,94123,3495,1,1,650,Apt,Shared,Forced air,NA,Yes,Garage
608,2323 Larkin St APT 2,94109,3400,2,1,NA,Apt,Shared,NA,NA,Yes,Both
609,2311 24th Ave # 1,94116,3750,2,2,1300,Apt,In Unit,Forced air,NA,Yes,Both
610,227 Sanchez Street # FL 3RD,94114,2350,Studio,1,NA,Apt,NA,Forced air,NA,Yes,NA
611,2266 Washington St APT 8,94115,3900,2,2,NA,Apt,NA,NA,NA,No,Both
612,2261 Filbert 2261 Filbert,94123,6950,4,2,NA,Apt,NA,NA,NA,No,NA
613,2240 Bryant St APT 31,94110,2595,1,1,NA,Apt,NA,NA,NA,No,NA
614,2192 15th St,94114,5995,3,2,1600,Apt,In Unit,NA,NA,Yes,NA
615,2189 Market St APT 5,94114,4500,2,2,990,Apt,NA,NA,NA,Yes,NA
616,2125 20th Ave # IN,94116,2000,1,1,NA,Apt,Shared,NA,NA,Yes,Both
617,2121 Turk Blvd APT 4,94115,4000,2,1,980,Apt,Shared,NA,NA,Yes,Garage
618,2101 Baker St APT 8,94115,3500,1,1,815,Apt,NA,NA,NA,Yes,NA
619,2086 Bush St # 5,94115,3800,2,1,800,Apt,NA,NA,NA,Yes,Both
620,2085 Sacramento St,94109,2295,Studio,1,NA,Apt,Shared,NA,NA,Yes,NA
