Column1,Address,Zip,Monthly_Rent_USD,Bedrooms,Bathrooms,Area_SqFt,Building,Laundry,Heating,Cooling,Pets,Parking
23,220 Fairmount St,94131,4300,2,1,1485,House,NA,Other,NA,Yes,Available 
24,3655 21st St,94114,10000,3,2,2212,House,In Unit,NA,NA,Yes,NA
25,2233 Santiago St,94116,2100,2,1,500,House,NA,NA,NA,Yes,Street
26,Maddux Ave,94124,3900,3,2,1200,House,In Unit,Forced air,NA,No,Garage
27,2786 38th Ave,94116,5400,5,3,NA,House,In Unit,Forced air,NA,Yes,Street
28,21st Ave,94132,5400,3,2,NA,House,In Unit,Forced air,None,No,NA
29,Rockdale Dr,94127,4800,3,1,1320,House,In Unit,NA,NA,No,NA
30,Orizaba Ave,94132,2500,2,1,1075,House,Shared,Forced air,NA,No,Street
31,525 20th Avenue # Upper Floor,94121,4250,2,1,NA,House,NA,Forced air,NA,Yes,NA
32,268 Madison St,94134,2000,1,1,650,House,NA,Forced air,Central,Yes,Street
33,848 N Point St,94109,4900,2,2,1200,House,NA,NA,NA,No,NA
34,Central Ave,94117,14000,5,3,2830,House,NA,Radiant,Central,No,NA
35,1133 Kansas St,94107,8900,3,2,2000,House,In Unit,Forced air,None,Yes,Available 
36,2351 33rd Ave,94116,5500,4,2,1450,House,Shared,NA,NA,No,NA
37,Washington St,94115,15000,3,2,2488,House,NA,NA,NA,No,NA
38,Pierce St,94123,25000,4,3.5,3884,House,In Unit,NA,NA,No,NA
39,459 Colon Ave,94127,4700,3,1.5,1751,House,In Unit,Forced air,NA,Yes,Street
40,243 Noriega St,94122,5000,3,2.5,1675,House,In Unit,NA,NA,Yes,NA
41,135 Evelyn Way,94127,5880,5,3,1650,House,In Unit,Forced air,NA,Yes,Street
42,21 Summit Way,94132,6500,3,2,NA,House,NA,NA,NA,No,NA
43,1535 44th Ave,94122,5500,3,2,1300,House,In Unit,Forced air,NA,Yes,NA
44,831 Marina Blvd,94123,13500,3,4,2420,House,NA,NA,NA,Yes,NA
45,869 Faxon Ave,94112,4950,2,1,1450,House,NA,Forced air,NA,No,Available 
46,253 Friedell St,94124,4500,3,2.5,1318,House,In Unit,Forced air,"Central, Other",No,Garage
47,727 Green St,94133,5500,4,5,1200,House,NA,NA,NA,Yes,NA
48,1731 Vallejo St,94123,9500,2,2.5,2400,House,In Unit,Forced air,NA,No,Garage
49,Eureka St,94114,10000,4,3,NA,House,In Unit,Forced air,None,No,Garage
50,220 Fairmount St,94131,4300,2,1,1485,House,NA,Other,NA,Yes,Available 
51,3655 21st St,94114,10000,3,2,2212,House,In Unit,NA,NA,Yes,NA
52,2233 Santiago St,94116,2100,2,1,500,House,NA,NA,NA,Yes,Street
53,Maddux Ave,94124,3900,3,2,1200,House,In Unit,Forced air,NA,No,Garage
54,2786 38th Ave,94116,5400,5,3,NA,House,In Unit,Forced air,NA,Yes,Street
55,21st Ave,94132,5400,3,2,NA,House,In Unit,Forced air,None,No,NA
56,Rockdale Dr,94127,4800,3,1,1320,House,In Unit,NA,NA,No,NA
57,Orizaba Ave,94132,2500,2,1,1075,House,Shared,Forced air,NA,No,Street
58,525 20th Avenue # Upper Floor,94121,4250,2,1,NA,House,NA,Forced air,NA,Yes,NA
59,268 Madison St,94134,2000,1,1,650,House,NA,Forced air,Central,Yes,Street
60,848 N Point St,94109,4900,2,2,1200,House,NA,NA,NA,No,NA
61,Central Ave,94117,14000,5,3,2830,House,NA,Radiant,Central,No,NA
62,1133 Kansas St,94107,8900,3,2,2000,House,In Unit,Forced air,None,Yes,Available 
63,2351 33rd Ave,94116,5500,4,2,1450,House,Shared,NA,NA,No,NA
64,Washington St,94115,15000,3,2,2488,House,NA,NA,NA,No,NA
65,Pierce St,94123,25000,4,3.5,3884,House,In Unit,NA,NA,No,NA
66,459 Colon Ave,94127,4700,3,1.5,1751,House,In Unit,Forced air,NA,Yes,Street
67,243 Noriega St,94122,5000,3,2.5,1675,House,In Unit,NA,NA,Yes,NA
68,135 Evelyn Way,94127,5880,5,3,1650,House,In Unit,Forced air,NA,Yes,Street
69,21 Summit Way,94132,6500,3,2,NA,House,NA,NA,NA,No,NA
70,1535 44th Ave,94122,5500,3,2,1300,House,In Unit,Forced air,NA,Yes,NA
71,831 Marina Blvd,94123,13500,3,4,2420,House,NA,NA,NA,Yes,NA
72,869 Faxon Ave,94112,4950,2,1,1450,House,NA,Forced air,NA,No,Available 
73,253 Friedell St,94124,4500,3,2.5,1318,House,In Unit,Forced air,"Central, Other",No,Garage
74,727 Green St,94133,5500,4,5,1200,House,NA,NA,NA,Yes,NA
75,1731 Vallejo St,94123,9500,2,2.5,2400,House,In Unit,Forced air,NA,No,Garage
76,Eureka St,94114,10000,4,3,NA,House,In Unit,Forced air,None,No,Garage
77,220 Fairmount St,94131,4300,2,1,1485,House,NA,Other,NA,Yes,Available 
78,3655 21st St,94114,10000,3,2,2212,House,In Unit,NA,NA,Yes,NA
79,2233 Santiago St,94116,2100,2,1,500,House,NA,NA,NA,Yes,Street
80,Maddux Ave,94124,3900,3,2,1200,House,In Unit,Forced air,NA,No,Garage
81,2786 38th Ave,94116,5400,5,3,NA,House,In Unit,Forced air,NA,Yes,Street
82,21st Ave,94132,5400,3,2,NA,House,In Unit,Forced air,None,No,NA
83,Rockdale Dr,94127,4800,3,1,1320,House,In Unit,NA,NA,No,NA
84,Orizaba Ave,94132,2500,2,1,1075,House,Shared,Forced air,NA,No,Street
85,525 20th Avenue # Upper Floor,94121,4250,2,1,NA,House,NA,Forced air,NA,Yes,NA
86,268 Madison St,94134,2000,1,1,650,House,NA,Forced air,Central,Yes,Street
87,848 N Point St,94109,4900,2,2,1200,House,NA,NA,NA,No,NA
88,Central Ave,94117,14000,5,3,2830,House,NA,Radiant,Central,No,NA
89,1133 Kansas St,94107,8900,3,2,2000,House,In Unit,Forced air,None,Yes,Available 
90,2351 33rd Ave,94116,5500,4,2,1450,House,Shared,NA,NA,No,NA
91,Washington St,94115,15000,3,2,2488,House,NA,NA,NA,No,NA
92,Pierce St,94123,25000,4,3.5,3884,House,In Unit,NA,NA,No,NA
93,459 Colon Ave,94127,4700,3,1.5,1751,House,In Unit,Forced air,NA,Yes,Street
94,243 Noriega St,94122,5000,3,2.5,1675,House,In Unit,NA,NA,Yes,NA
95,135 Evelyn Way,94127,5880,5,3,1650,House,In Unit,Forced air,NA,Yes,Street
96,21 Summit Way,94132,6500,3,2,NA,House,NA,NA,NA,No,NA
97,1535 44th Ave,94122,5500,3,2,1300,House,In Unit,Forced air,NA,Yes,NA
98,831 Marina Blvd,94123,13500,3,4,2420,House,NA,NA,NA,Yes,NA
99,869 Faxon Ave,94112,4950,2,1,1450,House,NA,Forced air,NA,No,Available 
100,253 Friedell St,94124,4500,3,2.5,1318,House,In Unit,Forced air,"Central, Other",No,Garage
101,727 Green St,94133,5500,4,5,1200,House,NA,NA,NA,Yes,NA
102,1731 Vallejo St,94123,9500,2,2.5,2400,House,In Unit,Forced air,NA,No,Garage
103,Eureka St,94114,10000,4,3,NA,House,In Unit,Forced air,None,No,Garage
104,220 Fairmount St,94131,4300,2,1,1485,House,NA,Other,NA,Yes,Available 
105,3655 21st St,94114,10000,3,2,2212,House,In Unit,NA,NA,Yes,NA
106,2233 Santiago St,94116,2100,2,1,500,House,NA,NA,NA,Yes,Street
107,Maddux Ave,94124,3900,3,2,1200,House,In Unit,Forced air,NA,No,Garage
108,2786 38th Ave,94116,5400,5,3,NA,House,In Unit,Forced air,NA,Yes,Street
109,21st Ave,94132,5400,3,2,NA,House,In Unit,Forced air,None,No,NA
110,Rockdale Dr,94127,4800,3,1,1320,House,In Unit,NA,NA,No,NA
111,Orizaba Ave,94132,2500,2,1,1075,House,Shared,Forced air,NA,No,Street
112,525 20th Avenue # Upper Floor,94121,4250,2,1,NA,House,NA,Forced air,NA,Yes,NA
113,268 Madison St,94134,2000,1,1,650,House,NA,Forced air,Central,Yes,Street
114,848 N Point St,94109,4900,2,2,1200,House,NA,NA,NA,No,NA
115,Central Ave,94117,14000,5,3,2830,House,NA,Radiant,Central,No,NA
116,1133 Kansas St,94107,8900,3,2,2000,House,In Unit,Forced air,None,Yes,Available 
117,2351 33rd Ave,94116,5500,4,2,1450,House,Shared,NA,NA,No,NA
118,Washington St,94115,15000,3,2,2488,House,NA,NA,NA,No,NA
119,Pierce St,94123,25000,4,3.5,3884,House,In Unit,NA,NA,No,NA
120,459 Colon Ave,94127,4700,3,1.5,1751,House,In Unit,Forced air,NA,Yes,Street
121,243 Noriega St,94122,5000,3,2.5,1675,House,In Unit,NA,NA,Yes,NA
122,135 Evelyn Way,94127,5880,5,3,1650,House,In Unit,Forced air,NA,Yes,Street
123,21 Summit Way,94132,6500,3,2,NA,House,NA,NA,NA,No,NA
124,1535 44th Ave,94122,5500,3,2,1300,House,In Unit,Forced air,NA,Yes,NA
125,831 Marina Blvd,94123,13500,3,4,2420,House,NA,NA,NA,Yes,NA
126,869 Faxon Ave,94112,4950,2,1,1450,House,NA,Forced air,NA,No,Available 
127,253 Friedell St,94124,4500,3,2.5,1318,House,In Unit,Forced air,"Central, Other",No,Garage
128,727 Green St,94133,5500,4,5,1200,House,NA,NA,NA,Yes,NA
129,1731 Vallejo St,94123,9500,2,2.5,2400,House,In Unit,Forced air,NA,No,Garage
130,Eureka St,94114,10000,4,3,NA,House,In Unit,Forced air,None,No,Garage
131,220 Fairmount St,94131,4300,2,1,1485,House,NA,Other,NA,Yes,Available 
132,3655 21st St,94114,10000,3,2,2212,House,In Unit,NA,NA,Yes,NA
133,2233 Santiago St,94116,2100,2,1,500,House,NA,NA,NA,Yes,Street
134,Maddux Ave,94124,3900,3,2,1200,House,In Unit,Forced air,NA,No,Garage
135,2786 38th Ave,94116,5400,5,3,NA,House,In Unit,Forced air,NA,Yes,Street
136,21st Ave,94132,5400,3,2,NA,House,In Unit,Forced air,None,No,NA
137,Rockdale Dr,94127,4800,3,1,1320,House,In Unit,NA,NA,No,NA
138,Orizaba Ave,94132,2500,2,1,1075,House,Shared,Forced air,NA,No,Street
139,525 20th Avenue # Upper Floor,94121,4250,2,1,NA,House,NA,Forced air,NA,Yes,NA
140,268 Madison St,94134,2000,1,1,650,House,NA,Forced air,Central,Yes,Street
141,848 N Point St,94109,4900,2,2,1200,House,NA,NA,NA,No,NA
142,Central Ave,94117,14000,5,3,2830,House,NA,Radiant,Central,No,NA
143,1133 Kansas St,94107,8900,3,2,2000,House,In Unit,Forced air,None,Yes,Available 
144,2351 33rd Ave,94116,5500,4,2,1450,House,Shared,NA,NA,No,NA
145,Washington St,94115,15000,3,2,2488,House,NA,NA,NA,No,NA
146,Pierce St,94123,25000,4,3.5,3884,House,In Unit,NA,NA,No,NA
147,459 Colon Ave,94127,4700,3,1.5,1751,House,In Unit,Forced air,NA,Yes,Street
148,243 Noriega St,94122,5000,3,2.5,1675,House,In Unit,NA,NA,Yes,NA
149,135 Evelyn Way,94127,5880,5,3,1650,House,In Unit,Forced air,NA,Yes,Street
150,21 Summit Way,94132,6500,3,2,NA,House,NA,NA,NA,No,NA
151,1535 44th Ave,94122,5500,3,2,1300,House,In Unit,Forced air,NA,Yes,NA
152,831 Marina Blvd,94123,13500,3,4,2420,House,NA,NA,NA,Yes,NA
153,869 Faxon Ave,94112,4950,2,1,1450,House,NA,Forced air,NA,No,Available 
154,253 Friedell St,94124,4500,3,2.5,1318,House,In Unit,Forced air,"Central, Other",No,Garage
155,727 Green St,94133,5500,4,5,1200,House,NA,NA,NA,Yes,NA
156,1731 Vallejo St,94123,9500,2,2.5,2400,House,In Unit,Forced air,NA,No,Garage
157,Eureka St,94114,10000,4,3,NA,House,In Unit,Forced air,None,No,Garage
158,220 Fairmount St,94131,4300,2,1,1485,House,NA,Other,NA,Yes,Available 
159,3655 21st St,94114,10000,3,2,2212,House,In Unit,NA,NA,Yes,NA
160,2233 Santiago St,94116,2100,2,1,500,House,NA,NA,NA,Yes,Street
161,Maddux Ave,94124,3900,3,2,1200,House,In Unit,Forced air,NA,No,Garage
162,2786 38th Ave,94116,5400,5,3,NA,House,In Unit,Forced air,NA,Yes,Street
163,21st Ave,94132,5400,3,2,NA,House,In Unit,Forced air,None,No,NA
164,Rockdale Dr,94127,4800,3,1,1320,House,In Unit,NA,NA,No,NA
165,Orizaba Ave,94132,2500,2,1,1075,House,Shared,Forced air,NA,No,Street
166,525 20th Avenue # Upper Floor,94121,4250,2,1,NA,House,NA,Forced air,NA,Yes,NA
167,268 Madison St,94134,2000,1,1,650,House,NA,Forced air,Central,Yes,Street
168,848 N Point St,94109,4900,2,2,1200,House,NA,NA,NA,No,NA
169,Central Ave,94117,14000,5,3,2830,House,NA,Radiant,Central,No,NA
170,1133 Kansas St,94107,8900,3,2,2000,House,In Unit,Forced air,None,Yes,Available 
171,2351 33rd Ave,94116,5500,4,2,1450,House,Shared,NA,NA,No,NA
172,Washington St,94115,15000,3,2,2488,House,NA,NA,NA,No,NA
173,Pierce St,94123,25000,4,3.5,3884,House,In Unit,NA,NA,No,NA
174,459 Colon Ave,94127,4700,3,1.5,1751,House,In Unit,Forced air,NA,Yes,Street
175,243 Noriega St,94122,5000,3,2.5,1675,House,In Unit,NA,NA,Yes,NA
176,135 Evelyn Way,94127,5880,5,3,1650,House,In Unit,Forced air,NA,Yes,Street
177,21 Summit Way,94132,6500,3,2,NA,House,NA,NA,NA,No,NA
178,1535 44th Ave,94122,5500,3,2,1300,House,In Unit,Forced air,NA,Yes,NA
179,831 Marina Blvd,94123,13500,3,4,2420,House,NA,NA,NA,Yes,NA
180,869 Faxon Ave,94112,4950,2,1,1450,House,NA,Forced air,NA,No,Available 
181,253 Friedell St,94124,4500,3,2.5,1318,House,In Unit,Forced air,"Central, Other",No,Garage
182,727 Green St,94133,5500,4,5,1200,House,NA,NA,NA,Yes,NA
183,1731 Vallejo St,94123,9500,2,2.5,2400,House,In Unit,Forced air,NA,No,Garage
184,Eureka St,94114,10000,4,3,NA,House,In Unit,Forced air,None,No,Garage
185,220 Fairmount St,94131,4300,2,1,1485,House,NA,Other,NA,Yes,Available 
186,3655 21st St,94114,10000,3,2,2212,House,In Unit,NA,NA,Yes,NA
187,2233 Santiago St,94116,2100,2,1,500,House,NA,NA,NA,Yes,Street
188,Maddux Ave,94124,3900,3,2,1200,House,In Unit,Forced air,NA,No,Garage
189,2786 38th Ave,94116,5400,5,3,NA,House,In Unit,Forced air,NA,Yes,Street
190,21st Ave,94132,5400,3,2,NA,House,In Unit,Forced air,None,No,NA
191,Rockdale Dr,94127,4800,3,1,1320,House,In Unit,NA,NA,No,NA
192,Orizaba Ave,94132,2500,2,1,1075,House,Shared,Forced air,NA,No,Street
193,525 20th Avenue # Upper Floor,94121,4250,2,1,NA,House,NA,Forced air,NA,Yes,NA
194,268 Madison St,94134,2000,1,1,650,House,NA,Forced air,Central,Yes,Street
195,848 N Point St,94109,4900,2,2,1200,House,NA,NA,NA,No,NA
196,Central Ave,94117,14000,5,3,2830,House,NA,Radiant,Central,No,NA
197,1133 Kansas St,94107,8900,3,2,2000,House,In Unit,Forced air,None,Yes,Available 
198,2351 33rd Ave,94116,5500,4,2,1450,House,Shared,NA,NA,No,NA
199,Washington St,94115,15000,3,2,2488,House,NA,NA,NA,No,NA
200,Pierce St,94123,25000,4,3.5,3884,House,In Unit,NA,NA,No,NA
201,459 Colon Ave,94127,4700,3,1.5,1751,House,In Unit,Forced air,NA,Yes,Street
202,243 Noriega St,94122,5000,3,2.5,1675,House,In Unit,NA,NA,Yes,NA
203,135 Evelyn Way,94127,5880,5,3,1650,House,In Unit,Forced air,NA,Yes,Street
204,21 Summit Way,94132,6500,3,2,NA,House,NA,NA,NA,No,NA
205,1535 44th Ave,94122,5500,3,2,1300,House,In Unit,Forced air,NA,Yes,NA
206,831 Marina Blvd,94123,13500,3,4,2420,House,NA,NA,NA,Yes,NA
207,869 Faxon Ave,94112,4950,2,1,1450,House,NA,Forced air,NA,No,Available 
