"","House Type","Laundry","Heating","Cooling","Parking","Rent/Month","Beds","Baths","Square Feet","Address","Zipcode"
"269","Single Family","In Unit","Forced air",NA,"Garage - Attached",3900,3,2,1200,"Maddux Ave",94124
"270","Single Family","In Unit","Forced air",NA,"Off street, On street",5400,5,3,NA,"2786 38th Ave",94116
"271","Single Family","In Unit","Forced air","None",NA,5400,3,2,NA,"21st Ave",94132
"272","Single Family","In Unit",NA,NA,NA,4800,3,1,1320,"Rockdale Dr",94127
"273","Single Family","Shared","Forced air",NA,"On street",2500,2,1,1075,"Orizaba Ave",94132
"274","Townhouse",NA,"Forced air",NA,NA,4250,2,1,NA,"525 20th Avenue # Upper Floor",94121
"275","Single Family",NA,"Forced air","Central","On street",2000,1,1,650,"268 Madison St",94134
"276","Single Family",NA,NA,NA,NA,4900,2,2,1200,"848 N Point St",94109
"277","Single Family",NA,"Radiant","Central",NA,14000,5,3,2830,"Central Ave",94117
"278","Single Family","In Unit","Forced air","None","1 space",8900,3,2,2000,"1133 Kansas St",94107
"279","Single Family","Shared",NA,NA,NA,5500,4,2,1450,"2351 33rd Ave",94116
"280","Single Family",NA,NA,NA,NA,15000,3,2,2488,"Washington St",94115
"281","Single Family","In Unit",NA,NA,NA,25000,4,35,3884,"Pierce St",94123
"282","Single Family","In Unit","Forced air",NA,"On street",4700,3,15,1751,"459 Colon Ave",94127
"283","Single Family","In Unit",NA,NA,NA,5000,3,25,1675,"243 Noriega St",94122
"284","Single Family","In Unit","Forced air",NA,"On street",5880,5,3,1650,"135 Evelyn Way",94127
"285","Single Family",NA,NA,NA,NA,6500,3,2,NA,"21 Summit Way",94132
"286","Single Family","In Unit","Forced air",NA,NA,5500,3,2,1300,"1535 44th Ave",94122
"287","Single Family",NA,NA,NA,NA,13500,3,4,2420,"831 Marina Blvd",94123
"288","Single Family",NA,"Forced air",NA,"1 space",4950,2,1,1450,"869 Faxon Ave",94112
"289","Townhouse","In Unit","Forced air","Central, Other","Garage - Attached",4500,3,25,1318,"253 Friedell St",94124
"290","Townhouse",NA,NA,NA,NA,5500,4,5,1200,"727 Green St",94133
"291","Townhouse","In Unit","Forced air",NA,"Carport, Garage - Detached, On street",9500,2,25,2400,"1731 Vallejo St",94123
"292","Single Family","In Unit","Forced air","None","Garage - Attached",10000,4,3,NA,"Eureka St",94114
"293","Single Family",NA,"Other",NA,"1 space",4300,2,1,1485,"220 Fairmount St",94131
"294","Single Family","In Unit",NA,NA,NA,10000,3,2,2212,"3655 21st St",94114
"295","Single Family",NA,NA,NA,"On street",2100,2,1,500,"2233 Santiago St",94116
"296","Single Family","In Unit","Forced air",NA,"Garage - Attached",3900,3,2,1200,"Maddux Ave",94124
